pollinator,rank,notes
Eupeodes_nitens,species,
Parasyrphus_nigritarsis,species,
Scaeva_selenitica,species,
Lasioglossum (Dialictus) ephialtum,species,
Lasioglossum (Dialictus) mitchelli,species,
Lasioglossum (Dialictus) pilosum,species,
Lasioglossum (Dialictus) versatum,species,
Lasioglossum (Dialictus) zephyrum,species,
Lasioglossum (Lasioglossum) zonulum,species,
Melissodes bimaculata,species,
Peponapis pruniosa,species,
Triepeolus remigatus,species,
Megachilidae sp1,morphospecies,
Halictidae sp1,morphospecies,
Trigonini,family,Apidae
Hymenoptera,order,
Coleoptera sp1,morphospecies,
Coleoptera sp8,morphospecies,
Vespidae sp1,morphospecies,
Vespidae sp2,morphospecies,
Vespidae sp3,morphospecies,
Vespidae sp5,morphospecies,
Pompilidae sp1,morphospecies,
Vespidae spn,morphospecies,
Culicidae sp1,morphospecies,
Culicidae sp2,morphospecies,
Culicidae sp3,morphospecies,
Culicidae sp4,morphospecies,
Empididae sp,family,
Muscidae,family,
Stratiomyoidae,family,
Tachinidae,family,
Tipulidaesp,family,
Bombus lucorum agg,morphospecies,
Lasioglossum sp1,morphospecies,
Eristalis intricarius,species,
Eristalis,genus,
Vespula sp1,morphospecies,
Helophilus,genus,
Andrena,genus,
Tipula sp1,morphospecies,
Nomada,genus,
Sphecodes sp1,morphospecies,
Vanessa atalanta,species,
Colletes succinctus,species,
Parasyrphus punctulatus,species,
Mesembrina sp1,morphospecies,
Melanostoma dubium,species,
Andrena lapponica,species,
Helophilus hybridus,species,
Melanostoma millinum,species,
Anthophila sp1,morphospecies,
Nomia (Acunomia) strigata,species,
Braunsapis cupulifera,species,
Ceratina (ceratinidia) nigrolateralis,species,
Apis florea,species,
Xylocopa (Mesotrichia) latipes,species,
Geniotrigona thoracica,species,
Heterotrigona itama,species,
Tetragonula (laeviceps gr.),species,
Tetragonula (pagdeni gr.),species,
Tetragonula sp.,genus,
Meliponines sp.,tribe,
Vespa Affinis,species,
Coleoptera sp. 1,morphospecies,
Coleoptera sp. 2,morphospecies,
Coleoptera sp. 3,morphospecies,
Diptera sp. 1,morphospecies,
Diptera sp. 2,morphospecies,
Diptera sp. 3,morphospecies,
Diptera sp. 4,morphospecies,
Formicidae sp. 1,morphospecies,
Formicidae sp. 3,morphospecies,
Formicidae sp. 4,morphospecies,
Andrena_helvola,species,
Bombus_abuterraneus,species,
Bombus_terrestris_aggregate,morphospecies,
Bombus_sylvarum,species,
Rhingia_rostrata,species,
Bombus_rupestris,species,
Neoascia_podagrica,species,
wild_bee_unknown,superfamily,Apoidea? 
Eristalis spp.,genus,
Hoverfly,family,
Other coleopterans,order,
Other dipterans,order,
Lepidopterans,order,
Wild bees,superfamily,Apoidea? 
Andrena assimilis,species,
Xanthandrus comtus,species,
Bombus sp.,genus,
Empis sp.,genus,
Halictidae morpho 4,morphospecies,
Halictus crenicornis,species,
Lasioglossum sp.,genus,
Meliscaeva auricollis,species,
Others,others,
Cantharidae,family,
Halictidae morpho 1,morphospecies,
Nomada succinta,species,
Lasioglossum fulvicorne,species,
Oxythyrea funesta,species,
Agrypnus murinus,species,
Andrena humilis,species,
Sarcophaga sp.,genus,
Symphita,genus,
Tenthredo koehleri,species,
Lasioglossum punctatissimum,species,
Oedemera sp.,genus,
Panorpa sp,genus,
Parasitoide,family,Ichneumonidae? 
Lasioglossum cf fulvicorne,species,
Andrena similis,species,
Eucera sp.,genus,
Halictus (Seladonia) sp.,genus,
Platycheirus sp.,genus,
Rhagonycha fulva,species,
Andrena lathyri,species,
Lasioglossum limbellum,species,
Lasioglossum lucidulum,species,
Andrena trimmerana,species,
Stevenia deceptoria,species,
Zophomyia temula,species,
Halictidae morpho 8,morphospecies,
Lasioglossum pauperatum,species,
Volucella sp.,genus,
Lasioglossum puncticolle,species,
Halictidae morpho 10,morphospecies,
Lasioglossum lativentre,species,
Lasioglossum littorale,species,
Tropinota squalida,species,
Bombylius sp,genus,
Neomyia cornicina,species,
Tricogena rubricosa,species,
Bee,superfamily,
Honeybee,genus,
Ceratina sp.,genus,
Megachile flavipennis,species,
Meliponula sp.,genus,
Amegilla sp 1.,morphospecies,
Hypotrigona gribodoi,species,
Megachile sp5.,morphospecies,
Amegilla cymatilis,species,
Amegilla caelestina,species,
Amegilla sp 2.,morphospecies,
Megachile bicolor,species,
Megachile sp.4,morphospecies,
Megachile sp.1,morphospecies,
Xylocopa inconstans,species,
Megachile sp.2,morphospecies,
Megachile sp.3,morphospecies,
Megachile (Chalicodoma) sp.,subgenus,
Xylocopa imitator,species,
Anthophora sp.,genus,
Plebeina hildebrandti,species,
Pseudoanthidium sp.,genus,
Xylocopa caffra,species,
Xylocopa senior,species,
Lipotriches sp.,genus,
Lithurge sp.,genus,
Xylocopa somalica,species,
Euaspis abdominalis,species,
Lassioglossum sp.,genus,
Pachymelus conspicuus,species,
Pseudapis sp.,genus,
Systropha aethiopica,species,
Tetraloniella sp.,species group,
Xylocopa erythrina,species,
Amegilla sp. 2,morphospecies,
Dactylurina sp.,genus,
Heriades sp.,genus,
Mellisodes sp.,genus,
Nomia sp.,genus,
Pachyanthidium cordatum,species,
Pseudophilanthus sp.,genus,
